City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Russell,US,2022-05-31 04:05:15,32.3502,-85.1999,76.28,83,20,4.61
193,San Patricio,US,2022-05-31 04:05:15,28.017,-97.5169,82.29,84,4,17.25
194,Kamenka,RU,2022-05-31 04:05:16,51.3223,42.7678,59.04,79,98,11.18
195,Baykit,RU,2022-05-31 04:05:16,61.67,96.37,47.8,90,100,9.95
196,Kodiak,US,2022-05-31 04:05:17,57.79,-152.4072,45.91,87,100,11.5
197,Anuppur,IN,2022-05-31 04:05:17,23.1,81.6833,102.51,16,14,8.25
198,Artyom,AZ,2022-05-31 04:05:18,40.4723,50.333,80.74,54,0,1.99
199,Ponta Do Sol,PT,2022-05-31 04:05:18,32.6667,-17.1,63.72,76,45,10.0
200,Rocha,UY,2022-05-31 04:03:08,-34.4833,-54.3333,38.73,75,34,5.35
201,Airai,TL,2022-05-31 04:05:19,-8.9266,125.4092,76.57,52,52,2.01
202,Lebu,CL,2022-05-31 04:05:19,-37.6167,-73.65,42.91,80,0,9.86
203,Aginskoye,RU,2022-05-31 04:05:19,51.1,114.53,64.26,23,48,16.53
204,That Phanom,TH,2022-05-31 04:05:20,16.9364,104.7104,86.54,68,100,6.55
205,Kathu,TH,2022-05-31 04:05:20,7.9178,98.3332,84.02,99,97,17.63
206,Nanortalik,GL,2022-05-31 04:05:21,60.1432,-45.2371,37.06,92,100,6.69
207,Xining,CN,2022-05-31 04:03:14,36.6167,101.7667,68.9,25,64,2.51
208,Yumen,CN,2022-05-31 04:05:22,40.2833,97.2,82.13,13,2,25.41
209,Lagoa,PT,2022-05-31 04:05:22,39.05,-27.9833,59.09,75,53,10.11
210,Verkhoyansk,RU,2022-05-31 04:05:23,67.5447,133.385,47.14,76,100,1.59
211,Tuktoyaktuk,CA,2022-05-31 04:05:24,69.4541,-133.0374,33.55,82,84,3.91
212,Upernavik,GL,2022-05-31 04:05:26,72.7868,-56.1549,24.42,81,22,16.89
213,Pisco,PE,2022-05-31 04:05:26,-13.7,-76.2167,59.02,88,36,3.44
214,Alofi,NU,2022-05-31 04:05:27,-19.0595,-169.9187,79.23,74,2,7.83
215,Konevo,RU,2022-05-31 04:05:27,62.1215,39.3192,55.15,91,97,1.57
216,Miami Beach,US,2022-05-31 04:02:54,25.7906,-80.1301,80.02,83,75,4.61
217,Umm Kaddadah,SD,2022-05-31 04:05:27,13.6017,26.6876,77.29,16,25,3.94
218,Galesong,ID,2022-05-31 04:05:28,-5.3166,119.3661,89.62,68,46,2.3
219,Udimskiy,RU,2022-05-31 04:05:28,61.1417,45.9144,59.67,74,30,2.04
220,Luderitz,NA,2022-05-31 04:05:29,-26.6481,15.1594,57.34,43,0,9.95
221,Hami,CN,2022-05-31 04:05:29,42.8,93.45,92.12,12,5,8.39
222,Codrington,AU,2022-05-31 04:05:34,-38.2667,141.9667,48.87,73,100,22.84
223,Parsabad,IR,2022-05-31 04:05:34,39.6482,47.9174,74.39,49,2,1.52
224,Artsvaberd,AM,2022-05-31 04:05:35,40.8336,45.4711,62.67,67,14,2.3
225,Lungi,SL,2022-05-31 04:05:35,9.2212,-12.6831,71.92,96,100,2.06
226,Pocone,BR,2022-05-31 04:05:35,-16.2567,-56.6228,73.67,70,16,4.79
227,Lloret De Mar,ES,2022-05-31 04:05:36,41.6999,2.8457,65.89,60,100,2.08
228,Voronovytsya,UA,2022-05-31 04:05:36,49.1095,28.6808,55.0,90,36,7.45
229,Tabou,CI,2022-05-31 04:06:37,4.423,-7.3528,76.82,86,53,6.04
230,Mayachnyy,RU,2022-05-31 04:06:37,52.6839,55.685,57.2,68,3,7.34
231,Byron Bay,AU,2022-05-31 04:06:34,-28.65,153.6167,67.95,48,35,12.55
232,San Quintin,MX,2022-05-31 04:06:37,30.4833,-115.95,60.24,89,2,11.07
233,Huntington,US,2022-05-31 04:06:38,38.4193,-82.4452,73.87,90,0,3.44
234,Vostok,RU,2022-05-31 04:06:38,46.4856,135.8833,46.11,95,100,3.31
235,Mujiayingzi,CN,2022-05-31 04:06:39,42.1167,118.7833,68.56,25,100,5.5
236,Waimana,NZ,2022-05-31 04:06:39,-38.15,177.0833,62.19,89,75,5.17
237,Mafinga,TZ,2022-05-31 04:06:39,-7.25,35.0667,60.71,76,35,2.98
238,Antalaha,MG,2022-05-31 04:06:40,-14.9003,50.2788,71.62,79,85,7.47
239,Taltal,CL,2022-05-31 04:03:15,-25.4,-70.4833,56.84,83,19,1.86
240,Brazzaville,CG,2022-05-31 04:06:40,-4.2658,15.2832,73.67,87,92,1.28
241,Tangshan,CN,2022-05-31 04:06:41,39.6333,118.1833,89.71,12,4,12.44
242,Comandau,RO,2022-05-31 04:06:41,45.7667,26.2667,54.3,89,19,0.6
243,Anda,CN,2022-05-31 04:06:41,46.4,125.3167,65.46,32,88,10.11
244,Pitimbu,BR,2022-05-31 04:06:42,-7.4706,-34.8086,75.79,88,40,3.98
245,Vawkavysk,BY,2022-05-31 04:06:42,53.1561,24.4513,46.45,93,97,10.02
246,Progreso,MX,2022-05-31 04:06:43,21.2833,-89.6667,79.11,84,100,14.36
